marca,modelo,ano,km,preco_eur,combustivel,transmissao,condicao,localizacao,data_anuncio,url,titulo,imagem_url,pagina_origem,recolhido_em
BMW,X5 25,2014.0,98000.0,22990.0,,,,Loures,Para o topo hoje às 22:00,https://www.standvirtual.com/carros/anuncio/bmw-x5-25-d-sdrive-comfort-7l-ID8Q0wCj.html,BMW X5 25 d sDrive Comfort 7L,,1,2026-06-21 23:45
BMW,316 d,2014.0,140000.0,12900.0,,,,"Torres Vedras (São Pedro, Santiago, Santa Maria Do Castelo E São Miguel) E Matacães",Para o topo hoje às 19:36,https://www.standvirtual.com/carros/anuncio/bmw-316-d-auto-line-sport-ID8Q0xvh.html,BMW 316 d Auto Line Sport,,1,2026-06-21 23:45
BMW,320D 190cv,2019.0,140000.0,22500.0,,,,Matosinhos E Leça Da Palmeira,Hoje às 01:38,https://www.olx.pt/d/anuncio/bmw-320d-190cv-caixa-automatica-IDJpCDf.html?search_reason=search%7Corganic,BMW 320D 190cv caixa automatica,,1,2026-06-21 23:45
BMW,123D Pack,2008.0,246000.0,12500.0,,,,Alhos Vedros,Para o topo hoje às 18:57,https://www.olx.pt/d/anuncio/bmw-123d-pack-m-2-0-biturbo-possibilidade-de-financiamento-IDJrZTH.html?search_reason=search%7Corganic,BMW 123D Pack M 2.0 Biturbo (possibilidade de financiamento),,1,2026-06-21 23:45
BMW,X1 16,2021.0,80806.0,26490.0,,,,Lumiar,Para o topo hoje às 08:22,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-xline-auto-ID8PUFve.html,BMW X1 16 d sDrive xLine Auto,,1,2026-06-21 23:45
BMW,120,2010.0,232395.0,11900.0,,,,Cidade Da Maia,Para o topo hoje às 19:18,https://www.standvirtual.com/carros/anuncio/bmw-120-ID8Q0qE6.html,BMW 120,,1,2026-06-21 23:45
BMW,i4 eDrive40,2024.0,9061.0,45750.0,,,,"Santa Iria De Azoia, São João Da Talha E Bobadela",Para o topo hoje às 12:20,https://www.standvirtual.com/carros/anuncio/bmw-i4-edrive40-gran-coupe-m-sport-ID8Q0pr7.html,BMW i4 eDrive40 Gran Coupe M Sport,,1,2026-06-21 23:45
BMW,120 i,2016.0,200000.0,14500.0,,,,Maia,Para o topo hoje às 23:24,https://www.standvirtual.com/carros/anuncio/bmw-120-i-sport-line-ID8Q0xBZ.html,BMW 120 i Sport Line,,1,2026-06-21 23:45
BMW,420 Gran,2017.0,178000.0,21990.0,,,,Merelim (São Pedro) E Frossos,Hoje às 22:27,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-pack-m-ID8Q0meZ.html,BMW 420 Gran Coupé d Pack M,,1,2026-06-21 23:45
BMW,X1 Sdrive,2015.0,175475.0,14500.0,,,,Buarcos,Para o topo hoje às 23:34,https://www.olx.pt/d/anuncio/bmw-x1-sdrive-18d-caixa-automtica-8-velocidades-motor-2-0-IDJs1SG.html?search_reason=search%7Corganic,BMW X1 Sdrive 18d  caixa automática 8 velocidades motor  2.0,,1,2026-06-21 23:45
BMW,530 D,2003.0,210000.0,8990.0,,,,Tomar (São João Baptista) E Santa Maria Dos Olivais,Hoje às 23:23,https://www.olx.pt/d/anuncio/bmw-530-d-2003-05-no-aceito-trocas-210-000kms-IDJpHRx.html?search_reason=search%7Corganic,BMW 530 D 2003/05 Não aceito trocas 210.000kms,,1,2026-06-21 23:45
BMW,120 D,2013.0,214000.0,13250.0,,,,Gandra,Para o topo hoje às 18:57,https://www.olx.pt/d/anuncio/bmw-120-d-pack-m-perfomance-IDJsqZp.html?search_reason=search%7Corganic,Bmw 120 D Pack M Perfomance,,1,2026-06-21 23:45
BMW,120 d,2008.0,229000.0,9990.0,,,,Laranjeiro E Feijó,Para o topo hoje às 20:59,https://www.standvirtual.com/carros/anuncio/bmw-120-d-cabrio-ID8PZ6p7.html,BMW 120 d Cabrio,,1,2026-06-21 23:45
BMW,635 D,2008.0,242000.0,19950.0,,,,Branca,Para o topo hoje às 20:57,https://www.olx.pt/d/anuncio/bmw-635-d-cabrio-pack-m-IDJheVm.html?search_reason=search%7Corganic,BMW 635 D CABRIO PACK M,,1,2026-06-21 23:45
